post_id,section_id,teacher_id,post_content,post_time
1,1,1,网络板块的帖子内容1,2023-12-28 12:00:00
2,1,2,网络板块的帖子内容2,2023-12-28 12:15:00
3,2,3,游戏板块的帖子内容1,2023-12-28 12:30:00
4,2,4,游戏板块的帖子内容2,2023-12-28 12:45:00
5,3,5,文学板块的帖子内容1,2023-12-28 13:00:00
6,3,1,文学板块的帖子内容2,2023-12-28 13:15:00
7,4,2,学习板块的帖子内容1,2023-12-28 13:30:00
8,4,3,学习板块的帖子内容2,2023-12-28 13:45:00
9,5,4,绘画板块的帖子内容1,2023-12-28 14:00:00
10,5,7,绘画板块的帖子内容2,2023-12-28 14:15:00
11,1,6,网络板块的帖子内容3,2023-12-28 14:30:00
12,1,7,网络板块的帖子内容4,2023-12-28 14:45:00
13,2,5,游戏板块的帖子内容3,2023-12-28 15:00:00
14,2,6,游戏板块的帖子内容4,2023-12-28 15:15:00
15,3,5,文学板块的帖子内容3,2023-12-28 15:30:00
16,3,2,文学板块的帖子内容4,2023-12-28 15:45:00
17,4,6,学习板块的帖子内容3,2023-12-28 16:00:00
18,4,7,学习板块的帖子内容4,2023-12-28 16:15:00
19,5,1,绘画板块的帖子内容3,2023-12-28 16:30:00
20,5,5,绘画板块的帖子内容4,2023-12-28 16:45:00
